plate,row,col,dose,sample_code
3,G,5,5,1-7
3,G,6,5,1-7
3,H,1,50,1-8
3,H,2,50,1-8
3,H,3,50,1-8
3,H,4,5,1-8
3,H,5,5,1-8
3,H,6,5,1-8
3,A,7,50,1-9
3,A,8,50,1-9
3,A,9,50,1-9
3,A,10,5,1-9
3,A,11,5,1-9
3,A,12,5,1-9
3,B,7,50,1-10
3,B,8,50,1-10
3,B,9,50,1-10
3,B,10,5,1-10
3,B,11,5,1-10
3,B,12,5,1-10
3,C,7,50,1-11
3,C,8,50,1-11
3,C,9,50,1-11
3,C,10,5,1-11
3,C,11,5,1-11
3,C,12,5,1-11
3,D,7,50,1-12
3,D,8,50,1-12
3,D,9,50,1-12
3,D,10,5,1-12
3,D,11,5,1-12
3,D,12,5,1-12
3,E,7,50,1-13
3,E,8,50,1-13
3,E,9,50,1-13
3,E,10,5,1-13
3,E,11,5,1-13
3,E,12,5,1-13
3,F,7,50,1-14
3,F,8,50,1-14
3,F,9,50,1-14
3,F,10,5,1-14
3,F,11,5,1-14
3,F,12,5,1-14
3,G,7,50,positive_control
3,G,8,50,positive_control
3,G,9,50,positive_control
3,G,10,5,positive_control
3,G,11,5,positive_control
3,G,12,5,positive_control
3,H,7,50,growth
3,H,8,50,growth
3,H,9,50,growth
3,H,10,5,media
3,H,11,5,media
3,H,12,5,media
